,,
,,
MU03 starts 28 March 2023,,
"(that was commissioning - plasmas not until May, regular operation with beams not until June)",,
MU03 ends 24 January 2024,,
,,
,,
5/26/2023,,
,48186,DN-750-SX-SS
,48187,DN-750-SX-SS
,48188,DN-750-SX-SS
,48189,DN-750-SX-SS
,48193,DN-750-CD-SS
,48194,DN-750-CD-SS
,48196,DN-750-CD-SS
,48198,DN-750-CD-SS
,48200,DN-750-CD-SS
8/10/2023,,
,48219,DN-750-CD-SS
,48221,DN-750-CD-SS
,48223,DN-750-CD-SS
8/11/2023,,
,48233,DN-750-SX-SS
,48235,DN-750-SX-SS
8/15/2023,,
,48251,DN-750-CD-SS
,48252,DN-750-CD-SS
,48255,DN-600-CD-2B
,48256,"says DN-600-CD-2B, but really DN-600-CD-SS"
,48257,DN-600-CD-2B
,48258,DN-600-CD-2B
,48259,DN-600-CD-2B
,48260,DN-600-CD-2B
,48261,DN-600-CD-2B
,48263,DN-600-CD-2B
,48265,DN-600-CD-2B
8/16/2023,,
,48267,DN-750-CD-SS
,48268,DN-750-CD-SS
,48269,DN-750-CD-SS
,48270,DN-750-CD-2B
,48271,DN-750-CD-SS
,48272,DN-750-CD-SS
,48273,DN-750-CD-SS
,48275,DN-750-CD-SW
,48276,DN-750-CD-SW
,48278,DN-750-CD-SS
,48279,DN-1000-CD-2B
,48280,DN-1000-CD-2B
,48281,DN-1000-CD-2B
8/17/2023,,
,48284,DN-750-CD-SS
,48285,DN-750-CD-SS
,48286,DN-750-CD-SW
,48287,DN-750-CD-SW
,48288,DN-750-CD-SS
,48291,"says DN-750-CD-2B, but really DN-750-CD-SS"
,48292,DN-750-CD-2B
,48293,"says DN-750-CD-2B, but really DN-750-CD-SW"
,48295,DN-600-CD-SS
,48297,DN-600-CD-SS
,48298,DN-750-CD-SS
,48299,DN-600-CD-SS
8/18/2023,,
,48302,DN-600-CD-SS
,48303,DN-600-CD-SS
,48304,DN-600-CD-SW
,48305,DN-600-CD-SW
,48309,DN-750-CD-2B
,48310,"says DN-750-CD-2B, but really DN-750-CD-SS"
,48311,DN-750-CD-2B
,48312,DN-750-CD-2B
,48313,DN-600-CD-2B
,48314,"says DN-750-CD-2B, but really DN-750-CD-SW"
,48315,DN-750-CD-2B
,48316,"says DN-450-CD-2B, but really DN-450-CD-SS"
8/22/2023,,
,48326,DN-600-CD-SS
8/23/2023,,
,48330,DN-750-SX-SW
,48332,DN-750-SX-SW
,48333,DN-750-SX-SW
,48334,DN-750-SX-SW
,48336,DN-750-CD-SW
,48337,DN-750-CD-2B
,48338,DN-750-SX-SW
,48339,DN-750-CD-2B
,48340,DN-750-CD-2B
,48341,DN-750-CD-2B
,48342,DN-750-CD-2B
,48343,DN-750-CD-2B
,48344,DN-750-CD-2B
,48345,"says DN-750-CD-2B, but really DN-750-CD-SS"
,48347,DN-750-CD-SW
,48348,DN-750-CD-SW
8/24/2023,,
,48353,DN-750-SX-SW
,48354,DN-750-SX-SW
,48359,DN-750-SX-SW
,48361,DN-750-SX-2B
,48363,DN-750-SX-2B
,48366,DN-750-SX-2B
,48367,"says DN-750-SX-2B, but really DN-750-SX-SW"
,48368,LSN-750-SX-2B
,48369,LSN-750-SX-2B
,48370,DN-750-SX-2B
10/19/2023,,
,48533,DN-750-CD-SS
,48539,DN-750-CD-SS
10/20/2023,,
,48543,DN-750-CD-2B
,48544,DN-750-CD-2B
,48546,DN-750-CD-2B
,48547,DN-750-CD-2B
10/24/2023,,
,48551,DN-750-SX-2B
,48552,DN-750-CD-2B
,48555,DN-750-CD-2B
,48558,DN-750-CD-2B
,48559,DN-750-CD-2B
,48560,DN-750-CD-2B
,48561,DN-750-CD-2B
10/25/2023,,
,48579,DN-750-SX-2B
,48580,DN-750-SX-SS
10/26/2023,,
,48594,DN-750-CD-2B
,48595,DN-750-CD-2B
,48596,DN-750-CD-2B
,48597,DN-750-CD-2B
,48598,DN-750-CD-2B
,48599,DN-750-CD-2B
,48602,DN-750-CD-2B
,48603,DN-750-CD-2B
,48604,"says DN-750-CD-2B, but really DN-750-CD-SS"
,48605,DN-750-CD-2B
,48606,"says DN-750-CD-2B, but really DN-750-CD-SS"
10/27/2023,,
,48609,DN-750-CD-2B
,48611,DN-750-CD-2B
,48614,"says DN-750-CD-2B, but really DN-750-CD-SW"
,48615,"says DN-750-CD-2B, but really DN-750-CD-SW"
,48616,"says DN-750-CD-2B, but really DN-750-CD-SS"
,48617,DN-750-CD-2B
,48618,DN-750-CD-2B
,48619,DN-750-CD-2B
,48620,DN-750-CD-2B
,48622,DN-750-CD-2B
,48623,"says DN-750-CD-2B, but really DN-750-CD-SW"
10/31/2023,,
,48630,"says DN-750-CD-2B, but really DN-750-CD-SW"
,48631,DN-750-CD-2B
,48632,DN-750-CD-2B
,48634,DN-750-CD-2B
,48636,DN-750-CD-SS
,48638,DN-750-CD-SS
,48639,DN-750-CD-SS
,48640,DN-750-CD-SS
,48641,DN-750-CD-SS
,48642,DN-750-CD-SS
,48643,DN-750-CD-SS
,48644,DN-750-CD-SS
11/1/2023,,
,48646,LSN-750-SX-2B
,48647,LSN-750-SX-2B
,48648,LSN-750-SX-2B
,48649,"says LSN-750-SX-2B, but really LSN-750-SX-SS"
,48651,LSN-750-SX-2B
,48652,LSN-750-SX-2B
,48653,DN-750-CD-2B
,48654,DN-750-CD-2B
,48655,DN-750-CD-SS
,48656,DN-750-CD-2B
,48657,DN-750-CD-2B
,48658,DN-750-CD-2B
,48659,DN-750-CD-2B
,48660,DN-750-CD-2B
,48661,DN-750-CD-2B
11/2/2023,,
,48666,DN-750-CD-2B
