Shot Number
49239
49240
49241
49242
49243
49244
49245
49246
49248
49249
49250
49256
49257
49258
49260
49261
49262
49266
49267
49268
49269
49270
49271
49272
49273
49274
49275
49276
49281
49282
49283
49286
49289
49290
49291
49292
49293
49295
49296
49297
49298
49299
49301
49302
49303
49304
49310
49312
49313
49314
49315
49317
49318
49319
49320
49321
49323
49324
49325
49326
49327
49328
49336
49337
49338
49339
49340
49341
49342
49343
49344
49345
49346
49347
49354
49355
49356
49357
49358
49359
49360
49363
49364
49365
49366
49367
49368
49370
49371
49373
49374
49376
49377
49378
49380
49383
49384
49385
49386
49387
49388
49389
49390
49391
